,Dec,Name,Proj1,Proj2,RA
229,0.7344569999999999,SDSSJ235159.75+004404.0,61.02144,29.94396,357.99897799999997
230,-0.779601,SDSSJ000058.22-004646.5,0.9020001,-60.03496,0.24260900000000002
231,0.096983,SDSSJ000226.10+000549.1,-52.904972,18.641455,0.608751
232,0.861057,SDSSJ235958.21+005139.8,26.336643,-9.190354,359.992552
233,-0.403514,SDSSJ001342.45-002412.6,-13.266117,-26.453882,3.42688
234,0.767464,SDSSJ001800.20+004602.8,32.648117,44.877827,4.500857
235,-0.524533,SDSSJ002651.69-003128.3,-31.890638,25.335676,6.715414
236,0.456768,SDSSJ002537.29+002724.3,42.614162,-52.574364,6.405411
237,0.001307,SDSSJ003049.21+000004.7,79.499306,-4.9519525,7.705045
238,0.57228,SDSSJ003131.44+003420.2,44.295532,-13.4565115,7.8810139999999995
239,0.370558,SDSSJ004241.96+002214.0,1.0503116,59.304768,10.674845
240,0.306358,SDSSJ004439.33+001822.8,2.9604428,-2.0808542,11.163875
241,-0.328322,SDSSJ005523.82-001941.9,-4.2644916,-39.969463,13.849291000000001
242,1.081243,SDSSJ005646.83+010452.4,-61.021652,-26.101948,14.195128
243,0.687048,SDSSJ005824.75+004113.3,49.53403,-38.136383,14.603137
244,0.77436,SDSSJ010648.03+004627.6,-63.822865,4.223484,16.700135999999997
245,-0.262196,SDSSJ011024.50-001543.9,14.190323,17.74785,17.602118
246,-0.9631059999999999,SDSSJ010855.02-005747.1,-21.86126,-2.339434,17.229267
247,0.36736599999999997,SDSSJ011418.27+002202.5,-67.56944,34.58214,18.576129
248,-0.554759,SDSSJ012841.87-003317.1,33.770027,61.92175,22.174459
249,-0.875711,SDSSJ012815.05-005232.5,-44.55066,0.33563778,22.062719
250,-0.323387,SDSSJ012602.20-001924.1,-24.501251,-40.088448,21.509188
251,-0.600037,SDSSJ013722.53-003600.1,-38.74837,-55.049545,24.343906
252,0.098493,SDSSJ013256.60+000554.5,29.532007,37.774475,23.235854999999997
253,-0.7813760000000001,SDSSJ013230.87-004652.9,-35.20695,-35.32767,23.128639
254,0.292104,SDSSJ013439.27+001731.5,-20.567585,38.16749,23.663660999999998
255,1.0004110000000002,SDSSJ014501.52+010001.4,30.533152,-30.154253,26.256344
256,-0.480628,SDSSJ015153.30-002850.2,-15.838848,-54.186882,27.972103999999998
257,0.885684,SDSSJ015650.28+005308.4,-52.996113,-61.494606,29.209505
258,0.457617,SDSSJ021505.62+002727.4,-52.246723,-10.53572,33.773428
259,-0.19585999999999998,SDSSJ023226.53-001145.0,21.349184,10.518887,38.110578000000004
260,-0.6386310000000001,SDSSJ023106.76-003819.0,-1.1235653,29.776825,37.778192
261,0.841275,SDSSJ023104.86+005028.5,39.84037,-63.078453,37.77026
262,0.351914,SDSSJ023219.52+002106.8,13.439864,21.484922,38.081342
263,0.098024,SDSSJ023232.25+000552.8,32.581112,-43.97978,38.134391
264,1.0591700000000002,SDSSJ023333.24+010333.0,59.74381,29.16829,38.388505
265,-0.9345,SDSSJ024856.53-005604.1,-5.2888155,-68.99839,42.235571
266,-0.147384,SDSSJ024635.62-000850.5,42.091076,-39.3165,41.648452
267,14.822198,SDSSJ003115.52+144919.9,52.49051,-28.586178,7.814673
268,15.348069,SDSSJ003259.74+152053.0,-65.451546,33.937798,8.24892
269,14.722373999999999,SDSSJ005906.71+144320.5,-28.016954,39.640903,14.777982000000002
270,14.585217000000002,SDSSJ005426.15+143506.7,55.346935,4.4918995,13.608989999999999
271,14.192639999999999,SDSSJ005031.91+141133.5,25.87692,-16.240334,12.632964
272,13.830273000000002,SDSSJ005010.72+134948.9,22.874838,-25.046507,12.544685000000001
273,15.456745999999999,SDSSJ005320.83+152724.2,-48.110004,10.083268,13.336795
274,16.008868,SDSSJ005406.68+160031.9,85.131065,-7.4220886,13.527873000000001
275,14.158426,SDSSJ010523.24+140930.3,17.336504,48.41425,16.346838
276,13.542654,SDSSJ010332.30+133233.5,-26.183453,-27.867785,15.884617
277,13.913567,SDSSJ010146.75+135448.8,-25.475937,-27.370165,15.444826
