col1,Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,_RAJ2000,_DEJ2000,SDSS,RAJ2000,DEJ2000,Plate,MJD,Fiber,z,r_z,DR12,Separation_1a,RAdeg,DEdeg,Speak,e_Speak,Sint,e_Sint,Separation
2395,SDSSJ115104.46+554048.3,177.768597,55.680102,115104.46+554048.3,177.768600463867,55.680103302002,1.94470000267029,2.0,1.0,1,-27.0306640927969,0.0,0.0,0.0,-26.8792971404255,-1.0,46.1400536852915,46.1951504430265,0.0084498929521687,177.7686,55.68010306,115104.46+554048.3,177.7686,55.680103,1016,52759,577,1.9447,DR7Q,DR12,0.007073761695942761,177.7687,55.6802,0.7,0.1,0.7,0.1,0.41377551410719565
2382,SDSSJ105743.12+532231.4,164.429688,53.375414,105743.12+532231.4,164.4296875,53.375415802002,1.71060001850128,1048579.0,1.0,1,-26.7588547531514,0.0,0.0,0.0,-26.9611492080658,-1.0,45.952224902729,46.0991787506038,0.0065754813138116,164.42968806,53.37541611,105743.12+532231.4,164.429688,53.375416,1011,52652,232,1.7106,DR7Q,DR12,0.007200000005568831,,,,,,,
2383,SDSSJ105730.79+521104.9,164.378326,52.184722,105730.79+521104.9,164.378326416016,52.1847229003906,1.76419997215271,1048579.0,1.0,1,-27.1458306859948,0.0,0.0,0.0,-26.7772631625305,-1.0,46.1300759253768,46.4036963879184,0.0033689580822289,164.37832611,52.18472306,105730.79+521105.0,164.378326,52.184723,1011,52652,258,1.7642,DR7Q,DR12,0.0035999999913344186,,,,,,,
2384,SDSSJ112011.04+531301.4,170.04604,53.217071,112011.04+531301.4,170.046035766602,53.217071533203104,1.92859995365143,3.0,1.0,1,-28.6468911865587,0.0,0.0,0.0,-26.2955343462356,-1.0,46.7178721460682,46.8924177779345,0.0093253207476756,170.04603611,53.21707194,112011.04+531301.4,170.046036,53.217072,1012,52649,19,1.9286,DR7Q,DR12,0.00934385218540333,,,,,,,
2986,SDSSJ135615.00+550152.5,209.062517,55.031269,135615.00+550152.5,209.062515258789,55.0312690734863,1.84590005874634,1048579.0,1.0,1,-27.3320064382565,0.0,0.0,0.0,-26.7239836098529,-1.0,46.2579968577154,46.4175048005353,0.0036023078311043,209.062515,55.03126889,135615.00+550152.5,209.062515,55.031269,1323,52797,164,1.8459,DR7Q,DR12,0.004126531037328688,209.0626,55.0312,0.7,0.1,1.4,0.1,0.3087253829722244
2385,SDSSJ110553.74+532038.4,166.473937,53.344003,110553.74+532038.4,166.473937988281,53.3440017700195,1.73839998245239,3145739.0,1.0,1,-26.9555278090225,0.0,2.0,39.2047968352368,-26.7875580808647,240.379423063984,46.1277563780789,46.3587639896493,0.0049110219337208,166.47393806,53.34400194,110553.74+532038.4,166.473938,53.344002,1012,52649,315,1.7384,DR7Q,DR12,0.0041927560143264,,,,,,,
2386,SDSSJ110920.87+545234.2,167.336994,54.87617,110920.87+545234.2,167.336990356445,54.8761711120606,1.9433000087738,2.0,1.0,1,-27.5029519621266,1.0,0.0,0.0,-26.8139565608018,-1.0,46.1445155090047,46.2353806675985,0.0085428262371311,167.33700111,54.87616694,110920.88+545234.2,167.337001,54.876167,8171,57135,694,1.948,VI,DR12,0.01807906232571587,,,,,,,
2387,SDSSJ112158.47+543029.3,170.493664,54.508144,112158.47+543029.3,170.493667602539,54.5081443786621,1.81379997730255,3.0,1.0,1,-26.4720593694724,0.0,0.0,0.0,-27.030702220974,-1.0,45.919429811046705,46.1691212506838,0.0076521182864094,170.49366806,54.50814389,112158.48+543029.3,170.493668,54.508144,1012,52649,630,1.8138,DR7Q,DR12,0.008360456170680682,,,,,,,
2390,SDSSJ112751.45+543110.7,171.964407,54.519655,112751.45+543110.7,171.964401245117,54.5196533203125,1.76660001277924,1048578.0,1.0,1,-26.9307339498708,0.0,0.0,0.0,-26.8219905717076,-1.0,46.0838111907266,46.3647606262853,0.0134597421349598,171.96440111,54.51965306,112751.45+543110.7,171.964401,54.519653,1013,52707,596,1.7666,DR7Q,DR12,0.014457529323551448,,,,,,,
2391,SDSSJ113554.84+550142.5,173.978507,55.028494,113554.84+550142.5,173.978500366211,55.0284957885742,1.99870002269745,1.35273474E8,1.0,1,-26.8169502994462,0.0,0.0,0.0,-26.9848575675912,-1.0,46.0202394932137,46.230852112162,0.0151270041796874,173.978515,55.02849194,113554.84+550142.5,173.978515,55.028492,6697,56419,652,1.998,VI,DR12,0.018009160803760173,,,,,,,
2393,SDSSJ114927.72+545512.1,177.365536,54.920045,114927.72+545512.1,177.365539550781,54.9200439453125,1.69669997692108,1048579.0,1.0,1,-26.3115422426219,0.0,0.0,0.0,-27.0391085014139,-1.0,45.885178016653,46.04545616222249,0.0082696851177397,177.36554,54.92004389,114927.72+545512.1,177.36554,54.920044,1016,52759,167,1.6967,DR7Q,DR12,0.009025043326037216,,,,,,,
2394,SDSSJ115133.78+552012.1,177.89078,55.336702,115133.78+552012.1,177.890777587891,55.336700439453104,1.97650003433228,1048579.0,1.0,1,-26.9652722449888,0.0,0.0,0.0,-26.8606630189921,-1.0,46.135875210686095,46.3961177997707,0.0074802070164164,177.89077806,55.3367,115133.78+552012.1,177.890778,55.3367,1016,52759,556,1.9765,DR7Q,DR12,0.008283066382349593,,,,,,,
2396,SDSSJ120317.13+555241.9,180.82138,55.878331,120317.13+555241.9,180.821380615234,55.8783302307129,2.04719996452332,1048578.0,1.0,1,-27.8629624758489,0.0,0.0,0.0,-26.7066869706114,-1.0,46.2998051087302,46.5498340721472,0.0030353538642156,180.82138194,55.878325,120317.13+555241.9,180.821382,55.878325,6838,56429,442,2.055,VI,DR12,0.02197435675915365,,,,,,,
