name,redshift_1,RAx,DECx,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLG
SDSSJ081256.55+470710.1,2.235069,123.23562500000003,47.119472222222214,1048580,0,1
SDSSJ080154.19+481256.5,2.140946,120.47579166666672,48.215694444444445,,,
SDSSJ080314.60+484335.8,2.311515,120.81083333333333,48.72661111111111,,,
SDSSJ081416.17+502550.4,2.240249,123.56737500000003,50.43066666666665,,,
SDSSJ081500.09+504626.9,2.016404,123.75037500000002,50.77413888888889,5,0,1
SDSSJ082317.47+503550.9,2.194519,125.82279166666666,50.597472222222216,4,0,1
SDSSJ081233.59+500418.3,2.154023,123.13995833333334,50.07175,1048580,0,1
SDSSJ081141.98+515710.9,2.178373,122.92491666666666,51.95302777777777,11,1,1
SDSSJ081425.18+520713.9,2.173739,123.6049166666667,52.12052777777778,2,1,1
SDSSJ082226.62+514312.5,2.352487,125.61091666666663,51.7201388888889,,,
SDSSJ082116.50+515411.4,1.631293,125.31875000000002,51.903166666666664,,,
SDSSJ081348.98+440901.9,2.281476,123.45408333333329,44.15052777777776,34603008,0,0
SDSSJ081410.76+443706.9,2.280174,123.54483333333332,44.618583333333326,1,0,1
SDSSJ081152.56+434051.3,2.197509,122.96900000000001,43.68091666666667,1048580,0,1
SDSSJ081202.82+442702.8,2.230067,123.01175,44.45077777777778,1048580,0,1
SDSSJ082314.08+460710.6,2.310851,125.8086666666667,46.11961111111111,,,
SDSSJ082212.82+462730.4,2.307889,125.55341666666668,46.45844444444444,,,
SDSSJ081930.35+480825.8,2.029095,124.8764583333333,48.14049999999999,4,0,1
SDSSJ081913.54+471726.7,1.760877,124.80641666666662,47.29075,1048580,0,1
SDSSJ082042.67+472301.5,2.191174,125.17779166666666,47.38375,,,
SDSSJ082317.84+480308.1,1.848451,125.82433333333329,48.05225,,,
SDSSJ082352.46+472735.3,2.223629,125.9685833333333,47.459805555555555,,,
SDSSJ081433.78+482924.4,2.078094,123.64075000000001,48.49011111111111,4,0,1
SDSSJ081645.83+493549.8,1.520895,124.19095833333333,49.59716666666665,,,
SDSSJ082142.23+493657.9,2.1858,125.4259583333333,49.616083333333336,,,
SDSSJ081657.30+493404.7,2.40454,124.23875000000001,49.56797222222222,,,
SDSSJ081752.45+510108.0,1.518387,124.46854166666668,51.018888888888895,,,
SDSSJ082318.89+500354.6,2.159372,125.82870833333332,50.065166666666656,,,
SDSSJ082153.82+503120.4,2.126874,125.47425,50.522333333333336,20,0,1
SDSSJ083526.00+514223.4,2.237434,128.85833333333335,51.70649999999999,,,
SDSSJ083413.91+511214.6,2.388464,128.55795833333332,51.20405555555555,10485781,0,1
SDSSJ082712.24+513542.1,1.539182,126.80099999999997,51.59502777777778,,,
SDSSJ082616.10+502049.0,2.198417,126.56708333333334,50.34694444444443,1048580,0,1
SDSSJ082154.28+520358.3,2.406075,125.47616666666669,52.06619444444445,,,
SDSSJ082214.99+523556.8,2.17692,125.5624583333333,52.59911111111111,,,
SDSSJ082725.81+525245.1,2.163511,126.85754166666668,52.87919444444444,,,
SDSSJ083131.20+521650.2,1.523284,127.88000000000002,52.280611111111114,,,
SDSSJ083338.25+520031.9,2.237548,128.40937499999998,52.00886111111111,,,
SDSSJ083529.35+521927.7,2.330684,128.87229166666665,52.32436111111111,,,
SDSSJ083313.05+484639.7,2.272416,128.304375,48.77769444444443,36700160,0,0
SDSSJ083119.75+482018.3,2.361642,127.83229166666666,48.33841666666666,1048580,0,1
SDSSJ083013.63+481115.4,2.334211,127.55679166666667,48.18761111111109,,,
SDSSJ082616.99+481108.8,1.884908,126.57079166666666,48.18577777777776,,,
SDSSJ082545.28+481755.0,1.800621,126.43866666666663,48.2986111111111,5,0,1
SDSSJ082613.85+495019.3,2.191162,126.55770833333332,49.83869444444444,1048580,0,1
SDSSJ084330.81+500359.7,2.264448,130.878375,50.06658333333333,,,
SDSSJ083125.90+500258.6,2.114791,127.85791666666665,50.04961111111111,,,
SDSSJ083749.34+510022.0,1.952171,129.45558333333332,51.0061111111111,,,
SDSSJ083901.60+503113.5,2.19921,129.75666666666666,50.52041666666667,,,
SDSSJ080706.70+542239.5,1.999311,121.77791666666673,54.37763888888888,,,
SDSSJ080640.44+542544.9,1.854731,121.66849999999998,54.42913888888889,,,
SDSSJ080506.67+551607.4,2.36806,121.27779166666669,55.26872222222221,1,1,1
SDSSJ081102.91+500724.2,1.839772,122.762125,50.12338888888889,3145748,0,1
SDSSJ075956.77+503318.8,2.26919,119.98654166666668,50.55522222222222,2,1,1
SDSSJ075854.54+501250.0,1.939907,119.72725,50.213888888888896,2,1,1
SDSSJ075623.43+510208.3,2.158802,119.09762500000001,51.035638888888876,,,
SDSSJ081348.91+542122.6,2.353397,123.45379166666663,54.356277777777784,,,
SDSSJ082110.42+535856.2,2.276103,125.2934166666667,53.98227777777776,,,
SDSSJ010523.69-002538.8,2.144954,16.348708333333335,-0.4274444444444432,4,0,1
SDSSJ075245.94+330735.3,2.281677,118.19141666666671,33.12647222222222,35651584,0,0
SDSSJ075118.29+323704.2,2.163231,117.82620833333334,32.61783333333333,1048578,1,1
SDSSJ075102.44+333634.4,2.276464,117.76016666666668,33.60955555555555,,,
SDSSJ075019.32+324314.7,2.213808,117.5805,32.720749999999995,,,
SDSSJ074701.96+332213.0,2.163876,116.7581666666667,33.37027777777778,2,1,1
SDSSJ074652.86+324149.1,2.188845,116.72024999999998,32.69697222222221,2,1,1
SDSSJ074756.22+351701.1,2.234779,116.98425,35.28363888888889,2097172,0,1
SDSSJ075012.53+344040.6,2.230421,117.55220833333334,34.67794444444444,33554432,0,0
SDSSJ075549.82+295203.6,2.136022,118.95758333333335,29.867666666666665,,,
SDSSJ075248.19+295044.8,2.37788,118.20079166666669,29.845777777777766,,,
SDSSJ075211.81+294445.2,2.190622,118.04920833333334,29.74588888888887,2,1,1
SDSSJ075119.82+291719.9,2.214734,117.83258333333332,29.288861111111103,,,
SDSSJ075114.98+301616.1,1.750348,117.81241666666669,30.271138888888878,,,
SDSSJ075037.02+313848.1,2.408901,117.65424999999999,31.646694444444428,2,1,1
SDSSJ075437.61+310529.2,2.198375,118.65670833333334,31.09144444444444,,,
SDSSJ075930.54+304835.9,2.196954,119.87725000000003,30.80997222222222,,,
SDSSJ075442.10+323240.0,2.354293,118.67541666666669,32.54444444444445,1048579,1,1
SDSSJ075848.59+322214.2,2.25447,119.70245833333335,32.37061111111112,11,1,1
SDSSJ080117.91+333411.9,1.599539,120.32462500000004,33.56997222222222,1048579,1,1
SDSSJ075942.83+333445.8,1.966427,119.92845833333332,33.579388888888886,,,
SDSSJ075835.44+330909.8,2.301052,119.64766666666668,33.152722222222216,,,
SDSSJ075717.42+332556.4,2.165863,119.32258333333334,33.43233333333331,2,1,1
SDSSJ075700.02+333459.9,2.159083,119.25008333333336,33.583305555555555,,,
SDSSJ075624.37+324647.6,2.257177,119.10154166666668,32.7798888888889,,,
SDSSJ075609.13+333730.7,2.278797,119.03804166666667,33.62519444444444,,,
SDSSJ075629.73+334432.8,2.107349,119.123875,33.74244444444445,,,
SDSSJ075044.04+340658.4,2.142629,117.6835,34.11622222222221,3,1,1
SDSSJ075524.10+342134.5,2.124222,118.85041666666666,34.35958333333333,1048579,1,1
SDSSJ080002.25+351243.4,2.256494,120.00937500000003,35.21205555555556,1048578,1,1
SDSSJ080040.02+351552.4,2.211366,120.16675,35.26455555555555,34603008,0,0
SDSSJ080049.71+344915.5,2.355061,120.20712499999999,34.82097222222222,2,1,1
SDSSJ080113.84+342244.6,2.130508,120.30766666666669,34.37905555555554,,,
SDSSJ080309.02+345127.3,2.299471,120.78758333333333,34.85758333333333,1048578,1,1
SDSSJ075955.37+295906.8,2.244773,119.98070833333337,29.985222222222223,,,
SDSSJ080034.14+332805.4,2.318216,120.14224999999999,33.46816666666666,,,
SDSSJ080500.28+332302.4,2.34518,121.25116666666666,33.38399999999999,3,1,1
SDSSJ080609.80+331307.9,2.312032,121.54083333333334,33.218861111111096,,,
SDSSJ080612.78+330513.9,2.303246,121.55325000000005,33.08719444444444,,,
SDSSJ081158.10+343624.2,2.101472,122.99208333333335,34.606722222222224,1048579,1,1
SDSSJ080702.35+342556.6,1.680908,121.75979166666667,34.43238888888889,,,
SDSSJ080549.61+335523.8,2.189417,121.45670833333334,33.92327777777779,,,
SDSSJ080519.81+344211.7,1.597175,121.3325416666667,34.70324999999998,,,
SDSSJ080452.09+343356.1,2.095431,121.21704166666666,34.56558333333332,2,1,1
SDSSJ080831.80+350200.7,2.148312,122.1325,35.03352777777778,1048579,1,1
SDSSJ080833.34+352109.2,1.646942,122.13891666666667,35.35255555555553,,,
SDSSJ081011.78+345857.7,1.717699,122.54908333333336,34.98269444444444,1048578,1,1
