 07 29 22.19,+36 41 15.8,-0.00045
 07 40 55.28,+38 51 47.1,-0.00014
 07 43 09.89,+39 41 30.8, 0.46322
 07 44 15.29,+39 52 17.0, 0.00011
 07 42 50.97,+39 52 06.4,-0.00043
 07 37 33.02,+39 20 37.4, 0.00037
 07 37 03.40,+39 32 25.4,-0.00024
 07 41 00.81,+41 23 21.4,-0.00005
 07 42 51.76,+40 28 21.7,-0.00048
 07 45 30.05,+40 30 03.5,-0.00044
 07 46 00.64,+40 11 05.9,-0.00072
 07 48 20.08,+37 43 08.4,-0.00020
 07 48 04.67,+37 40 46.4, 0.00291
 07 46 47.16,+38 14 35.8,-0.00040
 07 44 40.66,+37 41 14.3,-0.00011
 07 49 48.02,+42 18 19.7, 0.00034
 07 47 45.38,+42 14 24.1,-0.00029
 07 43 38.17,+42 09 59.9,-0.00068
 07 48 04.07,+43 41 38.5, 0.00223
 07 48 51.73,+44 03 03.6,-0.00054
 07 50 54.64,+42 52 19.3, 0.00037
 07 53 37.23,+43 37 22.0, 0.00060
 07 51 08.82,+40 08 34.6, 0.00013
 07 51 16.64,+40 13 11.8,-0.00018
 07 49 46.81,+40 05 07.8, 0.00036
 07 49 48.69,+39 37 45.7, 0.00000
 07 54 58.51,+41 16 00.1,-0.00048
 07 55 43.58,+40 53 20.7, 0.00044
 07 59 14.50,+41 07 28.5, 0.00055
 07 58 41.07,+44 24 06.7,-0.00004
 07 55 24.72,+44 19 28.7, 0.00087
 07 56 27.77,+44 58 36.4,-0.00118
 07 56 21.29,+45 03 49.0,-0.00068
 07 59 25.06,+45 52 15.2, 0.00005
 08 09 44.62,+46 25 33.0,-0.00030
 08 05 31.94,+47 28 25.2, 0.00027
 08 10 44.99,+47 00 44.5, 0.00087
 08 10 01.41,+48 01 56.5, 0.00060
 08 08 37.11,+44 44 02.6,-0.00031
 08 06 42.65,+45 17 52.9,-0.00023
 08 08 07.78,+45 13 04.1, 0.00096
 08 09 58.88,+45 00 07.4,-0.00055
 08 17 34.99,+44 53 42.6, 0.00545
 08 17 53.08,+45 53 20.0,-0.00007
 08 13 39.38,+46 03 41.3, 0.00204
 08 22 33.63,+50 17 12.3, 0.00056
 08 22 56.13,+50 50 53.3, 0.00124
 08 18 09.09,+50 37 43.8, 0.00073
 08 15 00.10,+50 46 27.0, 0.00062
 08 24 30.10,+52 14 49.8,-0.00032
 08 25 24.85,+52 26 26.3,-0.00004
 08 31 12.08,+51 21 17.5, 0.00098
 08 25 45.29,+48 17 55.0, 0.00062
 08 23 49.45,+47 36 35.7, 0.00004
 08 26 33.95,+49 13 11.1,-0.00027
 08 28 46.01,+49 09 38.4,-0.00021
 08 38 12.19,+52 36 47.5, 0.00047
 08 24 38.77,+52 51 33.7,-0.00036
 08 38 01.05,+53 16 59.3, 0.00001
 08 39 14.07,+50 20 38.0, 0.00043
 08 35 18.15,+50 30 03.3,-0.00028
 08 30 11.48,+51 01 13.3,-0.00018
 08 37 00.37,+51 26 53.2, 0.00024
 08 36 07.70,+51 02 30.0, 0.00030
 08 38 17.41,+50 58 27.1, 0.00027
 08 42 02.32,+51 16 56.7, 0.00066
 08 50 20.88,+54 00 34.7, 0.00057
 08 46 14.74,+53 43 55.2,-0.00001
 08 42 33.00,+54 01 04.4, 0.00015
 08 40 11.39,+54 11 38.2, 0.00010
 08 36 13.54,+54 29 13.6,-0.00002
 08 36 31.54,+54 30 00.5, 0.00019
 08 43 43.37,+54 22 43.7,-0.00005
 08 50 36.39,+51 57 15.8,-0.00021
