Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation
SDSSJ122518.40+020656.6,186.326705,2.115724,122518.40+020656.6,186.3267059326170,2.1157240867614700,2.0218000411987300,1048581,0,1,-28.731082852777700,0,0,0.0,-26.390725760596600,-1.0,46.64031324512650,46.77814230449460,0.003369640211230470
SDSSJ122246.81+021051.1,185.695054,2.180875,122246.81+021051.1,185.69505310058600,2.180875062942510,1.854200005531310,1048580,0,1,-27.085120465835400,0,0,0.0,-26.794929989908500,-1.0,46.16627352004840,46.47376300633950,0.0032434700923712300
SDSSJ122027.42+013050.7,185.114285,1.514108,122027.42+013050.7,185.11428833007800,1.5141079425811800,1.7383999824523900,1048580,0,1,-26.11604303917160,0,0,0.0,-27.129453543589600,-1.0,45.7772636678748,45.965018183234700,0.011985878114270600
SDSSJ123500.75+012041.6,188.753156,1.344914,123500.75+012041.6,188.75315856933600,1.3449139595031700,1.9637999534606900,20,0,1,-26.954104844497800,0,1,6.403709437203830,-27.005673222027000,64.8791034736759,46.02038847106560,46.15187683691800,0.009248210442486190
SDSSJ122946.31+022841.8,187.442968,2.478296,122946.31+022841.8,187.44296264648400,2.4782960414886500,1.982699990272520,1048580,0,1,-27.95016481407360,0,0,0.0,-26.59775763715580,-1.0,46.451401229671000,46.536235642533500,0.019255209281647800
SDSSJ123111.31+020924.0,187.797135,2.156689,123111.31+020924.0,187.79713439941400,2.156688928604130,1.8732999563217200,1048580,0,1,-26.914575125883400,0,0,0.0,-27.023936705048400,-1.0,45.98019732553210,46.20075494696060,0.002175812099796340
SDSSJ122722.86+025909.0,186.845269,2.98586,122722.86+025909.0,186.84527587890600,2.9858601093292200,1.8000999689102200,1048581,0,1,-26.284836064729400,0,0,0.0,-27.042889586327000,-1.0,45.85942916714050,46.13213206855780,0.024733575105427600
SDSSJ122941.19+024932.4,187.42166,2.825687,122941.19+024932.4,187.42166137695300,2.8256869316101100,1.7747999429702800,5,0,1,-26.501959656730100,0,0,0.0,-27.02607574394720,-1.0,45.86915290115630,46.25737400356380,0.004957122046258580
SDSSJ123055.32+032538.5,187.73052,3.427365,123055.32+032538.5,187.7305145263670,3.4273650646209700,1.8974000215530400,3145748,0,1,-26.589820788689200,0,1,1.7969153566427900,-27.026829133010800,19.114227610467700,45.93983981786710,46.21748630123130,0.019671209104364400
SDSSJ123138.32+025912.1,187.909707,2.986718,123138.32+025912.1,187.9097137451170,2.986717939376830,1.7127000093460100,1048580,0,1,-26.688237884291000,1,0,0.0,-26.90096464540760,-1.0,46.03431433130670,46.26545844147370,0.02425041970318000
SDSSJ123141.88+023528.6,187.924505,2.59129,123141.88+023528.6,187.92449951171900,2.59128999710083,1.7615000009536700,1048580,0,1,-26.594227144308700,0,0,0.0,-26.9465269376026,-1.0,45.971025307412100,46.27948025965680,0.019737612057054700
SDSSJ123317.84+023545.7,188.324362,2.596048,123317.84+023545.7,188.32435607910200,2.59604811668396,1.7479000091552700,1048580,0,1,-26.276530719315100,0,0,0.0,-27.130042542418800,-1.0,45.80081466619600,45.829428219965700,0.02129750150766490
SDSSJ123415.82+025331.2,188.565937,2.892011,123415.82+025331.2,188.56593322753900,2.8920109272003200,1.7753000259399400,3145748,0,1,-26.585920526464100,0,1,2.535508555299520,-27.160288508377900,36.67360378686330,45.794342937053300,45.987440689408500,0.01356609449955020
SDSSJ123406.40+034026.7,188.526679,3.674091,123406.40+034026.7,188.52667236328100,3.674091100692750,1.9946000576019300,4,0,1,-27.108141316626500,0,0,0.0,-26.936325169626700,-1.0,46.05993829087900,46.15792236932420,0.02384583722789520
SDSSJ124409.60+020704.9,191.04004,2.118033,124409.60+020704.9,191.0400390625,2.118032932281490,2.029099941253660,1048580,0,1,-27.418338393207200,0,0,0.0,-26.821334653200400,-1.0,46.20519343955540,46.499287973892700,0.00338149348060831
SDSSJ124133.30+011814.0,190.388778,1.303896,124133.30+011814.0,190.38877868652300,1.3038959503173800,1.8033000230789200,4,0,1,-27.37441105824530,0,0,0.0,-26.75131334897770,-1.0,46.20587424060060,46.309253905066000,0.002477309371584210
SDSSJ124050.05+021213.8,190.208549,2.203841,124050.05+021213.8,190.2085418701170,2.203840970993040,2.0106000900268600,1048580,0,1,-26.948343878723000,0,0,0.0,-27.02260893574150,-1.0,45.98294163296420,46.343571373792400,0.025648805438927800
SDSSJ124726.54+015017.3,191.860613,1.838158,124726.54+015017.3,191.86061096191400,1.8381580114364600,1.8698999881744400,1048580,0,1,-26.523330605917700,0,0,0.0,-27.083290877285600,-1.0,45.888185664474300,46.10977658412190,0.00733344938418431
SDSSJ124516.46+015641.1,191.318597,1.944762,124516.46+015641.1,191.318603515625,1.9447619915008500,1.9921000003814700,1048580,0,1,-27.703381445257400,0,0,0.0,-26.618446026177100,-1.0,46.369556247566200,46.71955523830950,0.023442759312586200
SDSSJ125414.27+024117.5,193.559492,2.688214,125414.27+024117.5,193.5594940185550,2.688214063644410,1.8408000469207800,3145748,0,1,-27.18842048985410,0,1,7.905523882942300,-26.845807590724600,55.42915344233410,46.125275343447900,46.27305076839070,0.007262415255525940
SDSSJ125623.25+030002.3,194.096895,3.000663,125623.25+030002.3,194.09689331054700,3.0006630420684800,1.7214000225067100,5,0,1,-26.74448119895920,0,0,0.0,-26.990208212558500,-1.0,45.94765323213360,46.138386756926500,0.006075580178644120
SDSSJ125655.67+031849.5,194.231998,3.313762,125655.67+031849.5,194.23199462890600,3.3137619495391800,1.9050999879837000,1048580,0,1,-26.805779962692600,0,0,0.0,-27.01768342738320,-1.0,45.954762618419800,46.19653978123850,0.012117007627159000
SDSSJ130651.92+012717.7,196.716372,1.454934,130651.92+012717.7,196.71636962890600,1.454934000968930,1.9890999794006300,1048580,0,1,-27.74789509916720,0,0,0.0,-26.635519479356300,-1.0,46.375000542920800,46.61708924232130,0.008533186251054300
SDSSJ130327.51+012733.0,195.864647,1.45918,130327.51+012733.0,195.86465454101600,1.4591799974441500,2.0525999069213900,1048580,0,1,-27.010271968212600,0,0,0.0,-26.954217089902200,-1.0,46.08350691497430,46.31809626540180,0.027138854430499500
SDSSJ130118.47+012136.7,195.326995,1.360213,130118.47+012136.7,195.32699584960900,1.360213041305540,1.9781999588012700,4,0,1,-28.2527978677573,0,0,0.0,-26.452674750523700,-1.0,46.590493049798700,46.69740101745970,0.003061345388722220
SDSSJ132522.29+021435.1,201.342901,2.243086,132522.29+021435.1,201.3428955078130,2.243086099624630,1.8690999746322600,1048580,0,1,-27.29658492351900,0,0,0.0,-26.838590739176100,-1.0,46.11174843941510,46.412298510691200,0.019759980262096900
SDSSJ132112.29+021429.4,200.301228,2.241526,132112.29+021429.4,200.3012237548830,2.241525888442990,1.7027000188827500,4,0,1,-26.873678592548900,0,0,0.0,-26.907689745929800,-1.0,45.986576176992400,46.12754561916720,0.01527600828784350
SDSSJ131939.32+024231.6,199.913853,2.708799,131939.32+024231.6,199.91384887695300,2.708798885345460,1.6800999641418500,1048580,0,1,-26.092626355953600,0,0,0.0,-27.179647412795900,-1.0,45.70272146040240,45.923698664888100,0.014832127953026300
SDSSJ132424.54+024124.8,201.102283,2.69023,132424.54+024124.8,201.10227966308600,2.690229892730710,1.7831000089645400,1048580,0,1,-27.31269623497650,0,0,0.0,-26.810762717907000,-1.0,46.13540140545740,46.3482719654378,0.012005863306523300
SDSSJ132817.68+014102.6,202.073705,1.684063,132817.68+014102.6,202.07369995117200,1.6840629577636700,1.819000005722050,1048581,0,1,-26.992596464440800,0,0,0.0,-26.86430394957780,-1.0,46.10553745688970,46.232716898292000,0.018168566900074100
SDSSJ132759.02+014443.2,201.995923,1.745351,132759.02+014443.2,201.9959259033200,1.745350956916810,1.9657000303268400,4,0,1,-26.729199707070200,0,0,0.0,-27.062626020676000,-1.0,45.95283760620050,46.199494298519700,0.010448255345611300
SDSSJ132352.25+012315.4,200.967725,1.38763,132352.25+012315.4,200.9677276611330,1.3876299858093300,1.9567999839782700,4,0,1,-27.257838753589400,0,0,0.0,-26.864305398633400,-1.0,46.12322042365690,46.44197437464670,0.009577404890486060
SDSSJ132407.93+013313.2,201.033056,1.553671,132407.93+013313.2,201.03305053710900,1.5536710023880000,1.7740999460220300,20,0,1,-27.12330459936240,1,1,4.860559101940250,-26.928884324331200,41.26392663386700,46.04269543109810,45.94355685437510,0.01965917806285630
