col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
3640,SDSSJ081710.54+235223.9,124.293941,23.873319,081710.54+235223.9,124.293937683105,23.8733196258545,1.73230004310608,3145738.0,1.0,1,-26.6912128561607,0.0,1.0,194.849339745726,-26.978447954128,1854.15865462999,45.9361525131863,46.2303633520606,0.0111492217897879,,,,,,,,,124.2939966881395,23.873290236606806,200.30484860072,0.80025293699,184.97297195542998,0.25962979998,-1.0,0.21054758300761287
874,SDSSJ101940.82+574513.0,154.920108,57.753634,101940.82+574513.0,154.920104980469,57.7536354064941,1.64900004863739,4.0,0.0,1,-26.3894360066672,1.0,0.0,0.0,-27.1066211016806,-1.0,45.7586896709852,45.7555996693452,0.0076991880297707,,,,,,,,,154.92017033435894,57.75355542024076,3.4621512850700005,0.23771668827,3.1334545058200005,0.12598567306000005,-1.0,0.30718261648928985
5444,SDSSJ134820.88+302005.6,207.087017,30.334916,134820.88+302005.6,207.087020874023,30.3349151611328,1.86790001392365,10.0,1.0,1,-28.9489699184397,0.0,2.0,27.2185000617713,-26.085113405276,33.1114038301367,46.8820595813259,47.0137812662016,0.0124100893561071,,,,,,,,,207.08713792144286,30.33492765569559,8.76631288525,0.21889085366,9.163730095959998,0.12798984302000002,-1.0,0.3780528320680178
3694,SDSSJ100146.19+371711.5,150.442491,37.28654,100146.19+371711.5,150.442489624023,37.2865409851074,1.73090004920959,1048586.0,1.0,1,-26.9432239233536,0.0,2.0,11.0380921532562,-26.9353950693314,95.1237767223333,45.9798348094758,46.1438495948945,0.0053018007453712,,,,,,,,,150.44256127491957,37.2865597938591,10.599915328600003,0.23525731824000004,9.35019072962,0.1247253076,-1.0,0.2135236941486089
889,SDSSJ084106.79+031206.8,130.278306,3.201903,084106.79+031206.8,130.278305053711,3.2019031047821,1.83640003204346,20.0,0.0,1,-29.441569074923,0.0,1.0,8.69893362913036,-25.8737657264676,6.50476698439562,47.0979605436433,47.2439674540938,0.0034221756277515,,,,,,,,,130.27829004295077,3.2020048414766697,9.104500618300001,0.23218976917,9.743541786080002,0.13785042643,-1.0,0.37108857611775636
7246,SDSSJ144642.37+142801.4,221.676551,14.467068,144642.37+142801.4,221.676544189453,14.4670677185059,1.97140002250671,1.37371147E8,1.0,1,-27.7589341735392,0.0,1.0,27.4223078655586,-26.7376549056972,149.885253915654,46.2779005924226,46.4876088107145,0.0237621566086239,,,,,,,,,221.67662954565282,14.4671235214639,19.28523245642,0.22516333041,19.297143749080004,0.12676364872999998,-1.0,0.33899322386049413
5082,SDSSJ120003.89+410842.3,180.016215,41.145106,120003.89+410842.3,180.016220092773,41.1451072692871,1.86000001430511,1048587.0,1.0,1,-26.980021484301,0.0,2.0,150.878056582715,-27.077524560414,1803.64325418377,45.9113337971575,46.0243210316142,0.0145428465527368,,,,,,,,,180.01637784607846,41.145138418658064,41.71115655086,0.74348659503,37.98780413375,0.40234651316,-1.0,0.45663568120304837
7720,SDSSJ234830.41+003918.5,357.126741,0.655149,234830.41+003918.5,357.126739501953,0.655148983001709,1.99950003623962,20.0,0.0,1,-28.3559833230091,0.0,2.0,3.79302439314072,-26.4651428755751,11.0695129137961,46.589499895359,46.7064622421667,0.0053929633077855,,,,,,,,,357.1267826956137,0.65520561649579,4.2610058891900024,0.15891765736000002,4.24984528396,0.09017179578,-1.0,0.25312184676394756
91,SDSSJ145049.93+000144.3,222.70806,0.028984,145049.93+000144.3,222.708053588867,0.0289840009063482,1.95790004730225,1048596.0,0.0,1,-26.7636446221767,0.0,2.0,10.1733277968661,-26.9262609228536,85.8467703302268,46.0849311756757,46.3155783892275,0.0230800754353788,,,,,,,,,222.70813835613288,0.029007253866330008,10.827475809360001,0.27136667573999995,9.89013879032,0.14424970547,-1.0,0.2942419051275678
4391,SDSSJ124923.49+143206.3,192.347887,14.535085,124923.49+143206.3,192.347885131836,14.5350847244263,1.92890000343323,3145739.0,1.0,1,-26.6702958587751,0.0,1.0,14.7850206260899,-27.0172723882543,153.848874331786,46.0145533590763,46.0354332919369,0.006585294106302,,,,,,,,,192.3479886568358,14.53517347270807,14.4038067285,0.24966410844999998,13.689839030309999,0.13181669055,-1.0,0.4763795835110155
606,SDSSJ135050.37+662910.6,207.709886,66.486297,135050.37+662910.6,207.709884643555,66.4862976074219,1.65369999408722,1048580.0,0.0,1,-26.94635850116,0.0,-1.0,0.0,-26.8246134547968,-1.0,46.0869433817845,46.1547376027474,0.0029287185312087,,,,,,,,,207.7096971352887,66.48622304909263,1.00244678363,0.29112733932,0.64315772446,0.11962193504,0.05,0.3800777310143374
7764,SDSSJ032950.00+005714.8,52.458363,0.954133,032950.00+005714.8,52.4583625793457,0.954132974147797,1.85490000247955,1179652.0,0.0,1,-27.1508816336977,0.0,-1.0,0.0,-26.8767040368055,-1.0,46.1544071640055,46.0121649349572,0.0015170030195256,,,,,,,,,52.458395537690365,0.95426737605177,5.361502065560001,0.34329691369000004,4.84285013876,0.18201619905,0.1,0.49772953444108536
3621,SDSSJ075039.92+191947.3,117.666373,19.32982,075039.92+191947.3,117.666374206543,19.3298206329346,1.92200005054474,10.0,1.0,1,-27.5897596923193,0.0,1.0,34.7191722013946,-26.7210806526641,182.66275960966,46.268658964114,46.3949887090792,0.0046894802787736,,,,,,,,,117.66642317825338,19.329905258531014,131.72903556258,0.7833105604299999,115.27227347308,0.17024848785,-1.0,0.3510877708710355
