,col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
1805,1610,SDSSJ154200.85+513417.3,235.503567,51.571492,154200.85+513417.3,235.503570556641,51.5714912414551,1.71340000629425,1048579.0,1.0,1,-26.7457338992194,0.0,0.0,0.0,-26.9777502484025,-1.0,45.9938515409693,45.8633577615754,0.008413594307399,,,,,,,,,,,,,,,,
1806,1614,SDSSJ155402.58+482951.0,238.510773,48.497523,155402.58+482951.0,238.510772705078,48.4975242614746,1.74230003356934,3.0,1.0,1,-27.3500690810303,1.0,0.0,0.0,-26.7198407355344,-1.0,46.2130322990795,46.2670723740862,0.0045954833507606,,,,,,,,,,,,,,,,
1807,1615,SDSSJ155237.65+481135.0,238.156895,48.193071,155237.65+481135.0,238.156890869141,48.1930694580078,1.73969995975494,1048579.0,1.0,1,-26.4956401395318,0.0,0.0,0.0,-27.0107209137523,-1.0,45.935563874123,46.1347300190132,0.0113618290795949,,,,,,,,,,,,,,,,
1808,1616,SDSSJ154810.92+482528.1,237.045528,48.424483,154810.92+482528.1,237.045532226563,48.4244842529297,1.74580001831055,3.0,1.0,1,-26.2512307668772,0.0,0.0,0.0,-27.1713661618437,-1.0,45.7377088196139,45.990381687905504,0.0110588545837326,,,,,,,,,,,,,,,,
1813,1620,SDSSJ155330.43+501227.0,238.376833,50.207527,155330.43+501227.0,238.376831054688,50.2075271606445,1.71319997310638,1048579.0,1.0,1,-26.3525134562645,0.0,0.0,0.0,-27.0266161581138,-1.0,45.8766373042043,46.1316081355889,0.0045192176431902,,,,,,,,,,,,,,,,
2014,1824,SDSSJ103833.10+484152.3,159.637945,48.697875,103833.10+484152.3,159.637939453125,48.6978759765625,1.74520003795624,1048579.0,1.0,1,-27.5942151965981,0.0,0.0,0.0,-26.6162485206667,-1.0,46.3233918566401,46.3827988476847,0.0136407875425919,,,,,,,,,,,,,,,,
2016,1826,SDSSJ103426.81+502101.7,158.611742,50.350483,103426.81+502101.7,158.611740112305,50.3504829406738,1.69309997558594,1048579.0,1.0,1,-26.54513118476,0.0,0.0,0.0,-27.0190317064955,-1.0,45.8537487945027,46.05632055824751,0.0043415242627681,,,,,,,,,,,,,,,,
2081,1927,SDSSJ091728.50+483203.1,139.368791,48.534199,091728.50+483203.1,139.368789672852,48.5341987609863,1.66569995880127,1048578.0,1.0,1,-26.7466325505445,0.0,0.0,0.0,-26.8949582573318,-1.0,46.0154931097678,46.1202816287675,0.0032786099067274,,,,,,,,,,,,,,,,
2386,1832,SDSSJ110853.98+522337.9,167.224924,52.393875,110853.98+522337.9,167.22492980957,52.3938751220703,1.66410005092621,1048579.0,1.0,1,-26.6855959582934,0.0,0.0,0.0,-26.9744293466222,-1.0,45.9238107848964,45.98686675591831,0.0127701873580994,167.224924,52.393875,DR7Q,0.5,0.1,0.6,0.1,0.0,,,,,,,,
2466,2346,SDSSJ095047.48+480047.3,147.697835,48.013155,095047.48+480047.3,147.697830200195,48.0131568908691,1.74329996109009,1048579.0,1.0,1,-28.4727519433045,0.0,0.0,0.0,-26.2592525798691,-1.0,46.6848328095881,46.8232362235105,0.0134145864177108,,,,,,,,,,,,,,,,
2473,2353,SDSSJ095744.73+491823.3,149.436399,49.306498,095744.73+491823.3,149.436401367188,49.3064994812012,1.6904000043869,2.0,1.0,1,-27.2015095746679,0.0,0.0,0.0,-26.7238112267075,-1.0,46.1956702637078,46.272890180936095,0.0077010979327448,,,,,,,,,,,,,,,,
2486,2366,SDSSJ100823.41+494747.5,152.097558,49.796534,100823.41+494747.5,152.097564697266,49.7965354919434,1.71679997444153,1048578.0,1.0,1,-27.2528284283701,0.0,0.0,0.0,-26.7358975008754,-1.0,46.1818625347998,46.258396259873,0.0164639235012582,,,,,,,,,,,,,,,,
